Dead Man's Chest,2006,Jerry Bruckheimer,Gore Verbinski,Johnny Depp:Orlando Bloom:Keira Knightley
The Da vinci code,2006,Brian Grazer,Ron Howard,Tom Hanks:Audrey TautouIan:McKellen
Mission Impossible II,2000,Tom Cruise,John Woo,Tom Cruise:Dougray Scott:Thandie Newton
The Meltdown,2006,Lori Forte,Carlos Saldanha,Ray Romano:John Leguizamo:Denis Leary
Casino Royale,2006,Barbara Broccoli,Martin Campbell,Daniel Craig:Eva Green:Mads Mikkelsen
Harry Potter and the Goblet of Fire,2005,David Heyman,Mike Newell,Daniel Radcliffe:Rupert Grint:Emma Watson
Night at the museum,2006,Shawn Levy,Shawn Levy,Ben Stiller:Owen Wilson:Carla Gugino
Gladiator,2000,Douglas Wick,Ridley Scott,Russell Crowe:Joaquin Phoenix
Revenge of the Sith,2005,Rick McCallum,George Lucas,Ewan McGregor:Natalie Portman:Hayden Christensen:Ian McDiarmid:Samuel L. Jackson:Christopher Lee:Anthony Daniels:Kenny Baker:Frank Oz
Cast Away,2000,Jack Rapke,Robert Zemeckis,Tom Hanks:Helen Hunt
Cars,2006,Darla K. Anderson,John Lasseter,Owen Wilson:Paul Newman:Bonnie Hunt
The Witch and the Wardrobe,2005,Mark Johnson:Phillip Steuer,Andrew Adamson,William Moseley:Anna Popplewell:Skandar Keynes
The last stand,2006,Lauren Shuler Donner,Brett Ratner,Hugh Jackman:Halle BerryIan:McKellen
War of the Worlds,2005,,,Kathleen Kennedy:Colin Wilson
Steven Spielberg,,,,Tom Cruise:Dakota Fanning:Justin Chatwin
MI3,2006,Tom Cruise,J. J. Abrams,Tom Cruise:Philip Seymour Hoffman:Ving Rhames
King Kong,2005,Jan Blenkin:Carolynne Cunningham:Fran Walsh:Peter Jackson,Peter Jackson,Naomi Watts:Jack Black:Adrien Brody
What Women Want,2000,Susan Cartsonis,Nancy Meyers,Mel Gibson:Helen Hunt
Superman Returns,2006,Jon Peters,Bryan Singer,Brandon Routh:Kate Bosworth:James Marsden
Madagascar,2005,Mireille Soria,Eric Darnell:Tom McGrath,Ben Stiller:Chris Rock:David Schwimmer
Happy feet,2006,Bill Miller,George Miller,Brittany Murphy:Hugh Jackman:Nicole Kidman
Mr. & Mrs. Smith,2005,Akiva Goldsman,Doug Liman,Angelina Jolie:Brad Pitt:Vince Vaughn
Charlie and the Chocolate Factory,2005,Brad Grey,Tim Burton,Johnny Depp:Freddie Highmore:David Kelly
Dinosaur,2000,Pam Marsden,Eric Leighton,D. B. Sweeney:Ossie Davis
Batman Begins,2005,Charles Roven,Christopher Nolan,Christian Bale:Michael Caine:Liam Neeson
Hitch,2005,James Lassiter,Andy Tennant,Will Smith:Eva Mendes:Kevin James
Meet the Parents,2000,Robert De Niro,Jay Roach,Robert De Niro:Ben Stiller
Harry Potter and the Philosopher's Stone,2001,David Heyman,Chris columbus,Daniel Radcliffe:Rupert Grint:Emma Watson
The Perfect Storm,2000,Gail Katz,Wolfgang Petersen,George Clooney:Mark Wahlberg
X-Men,2000,Lauren Shuler Donner,Bryan Singer,Patrick Stewart:Hugh Jackman
The Fellowship of the Ring,2001,Peter Jackson,Peter Jackson,Elijah wood:Sean Bean:Orlando Bloom
What Lies Beneath,2000,Steve Starkey,Robert Zemeckis,Harrison Ford:Michelle Pfeiffer:Diana Scarwid
Toy Story 2,2000,Helene Plotkin,John Lasseter,Tom Hanks:Tim Allen
Monsters Inc,2001,Darla K. Anderson,Pete Doctor,John Goodman:Billy Crystal
Shrek,2001,Aron Warner,Andrew Adamson,Mike Myers:Eddie Murphy:Cameron Diaz
X-Men 2,2003,Ralph Winter,Bryan Singer,patrick stewart:hugh Jackman:halle belly
Ocean's Eleven,2001,Jerry Weintraub,Steven Soderbergh,George Clooney:Brad Pitt:Matt Damon
Return of the king,2003,Peter Jackson,Peter Jackson,Elijah Wood:Viggo Mortensen:Ian McKellen
The Curse of the Black Pearl,2003,Jerry Bruckheimer,Gore Verbinski,Johnny Depp:Geoffrey Rush:Orlando Bloom
Pearl Harbor,2001,Jerry Bruckheimer,Michael Bay,Ben Affleck:Alec Baldwin:Kate Beckinsale
The Italian Job,2003,Donald De Line,F. Gary Gray,Donald Sutherland:Mark Wahlberg:Edward Norton
Hulk,2003,Avi Arad,Ang Lee,Eric Bana:Jennifer Connelly:Sam Elliott
The Mummy Returns,2001,Sean Daniels,Stephen Sommers,Brendan Fraser:Rachel Weisz:Dwayne Johnson
Underworld,2003,Tom Rosenberg,Len Wiseman,Kate Beckinsale:Scott Speedman:Shane Brolly
The Matrix Reloaded,2003,Joel Silver,Andy Wachowski:Lana Wachowski,Keanu Reeves:Laurence Fishburne:Carrie-Anne Moss
Wrong Turn,2003,Erik Feig,Rob Schmidt,Eliza Dushku:Jeremy Sisto:Emmanuelle Chriqui
The Matrix Revolutions,2003,Joel Silver,Andy Wachowski:Lana Wachowski,Keanu Reeves:Laurence Fishburne:Carrie-Anne Moss
Jurassic Park III,2001,Kathleen Kennedy,Joe Johnston,Sam Neil:William H. Macy
The Last Samurai,2003,Tom Cruise,Edward Zwick,Tom Cruise:Ken Watanabe:Billy Connolly
Planet of the Apes,2001,Ralph Winter,Tim Burton,Mark Wahlberg:Tim Roth:Helena Boham Carter
Hannibal,2001,Ridley Scott,Ridley Scott,Anthony Hopkins:Juliane Moore
Herry Potter and chamber of secrets,2002,Michael Barnathan,Chris columbus,Daniel Radcliffe:Rupert Grint:Emma Watson
Spider Man,2002,Avi Arad,Sam Raimi,Tobey Maguire:Willem Dafoe:Kirsten Dunst
City of God,2002,Andrea Barata Ribeiro,Katia Lund, Alexandre Rodrigues:Leandro Firmino:Phellipe Haagensen
The two towers,2002,Peter Jackson,Peter Jackson, Orlando Bloom:Ian McKellen:Viggo Mortensen
The Bourne Identity,2002,Patrick Crowley,Doug Liman,Matt Damon:Franka Potente:Chris Cooper
Catch me if you can,2002,Berry Kemp, Steven Spielberg ,Leonardo DiCaprio:Tom Hanks:Christopher Walken
Gangs of New York,2002,Gerry Robert Byrne,Martin Scorsese, Leonardo DiCaprio:Daniel Day-Lewis:Cameron Diaz
Van Wilder,2002,Peter Abrams,Walt Becker , Ryan Reynolds:Tara Reid:Tim Matheson
8 Mile,2002,Carol Fenelon, Curtis Hanson,Eminem:Kim Basinger:Mekhi Phifer
Scooby-Doo,2002,Joseph Barbera, Raja Gosnel, Freddie Prinze Jr.:Sarah Michelle Gellar:Matthew Lillard 